指标,股票代码,nan,2025-09-30,2025-06-30,2024-12-31,2024-09-30,2025-03-31
ROE,000639,,0.08,-0.64,0.26,-15.22
净利率,000639,,-0.1279,-1.275,0.0994,-11.8567
毛利率,000639,,--,--,--,--
净利,000639,,-0.0733,-0.4412,0.0169,-8.8533
负债率,000639,,45.2305,45.4621,45.0436,45.666
流动比,000639,,1.2713,1.2463,1.2553,1.2515
速动比,000639,,1.0182,0.9267,0.9439,0.9516
存货周转,000639,,4.2359,2.2832,1.1224,4.6253
应收周转,000639,,12.4519,9.8934,4.7689,18.433
BVPS,000523,,1.1779,1.144,1.1381,1.1488
ROE,000523,,3.45,1.71,0.62,26.7
净利率,000523,,5.5981,4.954,4.0602,26.5272
毛利率,000523,,--,--,--,--
净利,000523,,2.6171,1.4391,0.5773,16.5491
负债率,000523,,41.0023,40.0109,39.2555,37.3644
流动比,000523,,2.5004,3.2423,3.2232,3.2005
速动比,000523,,2.0345,3.0158,2.7806,2.6719
存货周转,000523,,4.068,3.7489,1.4663,7.5494
应收周转,000523,,6.5072,3.8641,1.8507,7.7489
BVPS,600493,,4.1318,4.1032,4.143,4.1327
ROE,600493,,1.4,0.71,0.25,4.73
净利率,600493,,2.2885,1.8637,1.4608,5.7206
毛利率,600493,,--,--,--,--
净利,600493,,0.9134,0.4664,0.1685,3.1041
负债率,600493,,36.9188,36.0058,33.2764,32.4443
流动比,600493,,1.2654,1.2698,1.4121,1.4618
速动比,600493,,0.911,0.8168,0.9043,0.9731
存货周转,600493,,2.6787,1.5175,0.6904,3.4563
应收周转,600493,,3.8929,2.7147,1.3302,5.7924
BVPS,603679,,4.7265,4.9147,5.0439,5.0498
ROE,603679,,-7.33,-3.12,-0.27,-8.08
净利率,603679,,-15.8093,-12.4,-1.4479,-20.0833
毛利率,603679,,--,--,--,--
净利,603679,,-3.9638,-1.6126,-0.085,-4.8216
负债率,603679,,47.4178,44.8021,43.4469,44.7713
流动比,603679,,2.0945,2.2505,2.3336,2.2432
速动比,603679,,1.7099,1.8539,2.0645,2.0135
存货周转,603679,,2.3024,1.1426,0.6357,2.8061
应收周转,603679,,0.845,0.4281,0.1957,0.8223
BVPS,603626,,3.8443,3.8649,3.893,4.063
ROE,603626,,-5.38,-4.91,-4.32,-21.15
净利率,603626,,-4.6792,-6.65,-13.5136,-14.098
毛利率,603626,,--,--,--,--
净利,603626,,-2.1505,-1.9337,-1.702,-8.7994
负债率,603626,,58.3352,59.7446,60.1374,59.4143
流动比,603626,,0.8001,0.846,0.8363,0.8639
速动比,603626,,0.6222,0.6469,0.6331,0.6866
存货周转,603626,,4.7518,2.9473,1.3067,7.5297
应收周转,603626,,2.0038,1.2898,0.5718,2.8918
BVPS,600838,,3.9317,3.8134,3.8023,3.8411
ROE,600838,,1.8,1.56,0.81,2.73
净利率,600838,,44.7108,52.8032,53.395,45.3391
毛利率,600838,,--,--,--,--
净利,600838,,1.6882,1.4331,0.7461,2.5809
负债率,600838,,7.3628,7.57,7.1016,7.5804
流动比,600838,,10.0823,7.1251,8.0626,7.7869
速动比,600838,,9.7401,6.8571,7.7275,7.5128
存货周转,600838,,2.9081,1.9961,0.914,4.2337
应收周转,600838,,8.0624,6.1656,2.72,14.2816
BVPS,603585,,18.14,17.8109,17.5547,17.3483
ROE,603585,,5.25,3.08,1.36,-0.44
净利率,603585,,7.3502,6.5945,5.6289,-1.2028
毛利率,603585,,--,--,--,--
净利,603585,,2.6696,1.5233,0.6458,-0.486
负债率,603585,,39.7456,39.9713,41.7485,44.4511
流动比,603585,,2.2844,2.2054,2.0979,1.7774
速动比,603585,,1.703,1.6147,1.5508,1.4229
存货周转,603585,,3.5429,2.2388,1.1332,5.2391
应收周转,603585,,3.9041,2.4258,1.2606,6.3369
BVPS,000036,,4.2415,3.9919,4.0151,4.0107
ROE,000036,,0.7,0.04,0.11,0.8
净利率,000036,,14.7078,4.6269,8.5455,11.901
毛利率,000036,,--,--,--,--
净利,000036,,0.6245,0.13,0.1229,0.632
负债率,000036,,22.0934,21.8753,21.5049,21.8889
流动比,000036,,4.1179,4.1857,4.3072,4.2192
速动比,000036,,1.8465,1.8952,1.9736,1.9348
存货周转,000036,,0.0609,0.0404,0.0217,0.0783
应收周转,000036,,16.7818,11.2537,6.8103,43.7172
BVPS,600367,,8.0784,8.0051,7.8436,7.7281
ROE,600367,,4.34,3.19,1.21,3.72
净利率,600367,,8.5244,9.2743,7.3751,4.5137
毛利率,600367,,--,--,--,--
净利,600367,,4.2426,3.1045,1.2336,3.1376
负债率,600367,,16.6284,17.1584,16.5826,16.6206
流动比,600367,,3.7755,3.5965,3.7215,3.6739
速动比,600367,,2.8861,2.7855,2.9316,2.9313
存货周转,600367,,3.0051,2.0549,1.0909,4.4139
应收周转,600367,,7.4405,5.0444,2.3315,11.2338
BVPS,002735,,4.9587,4.9576,4.9673,4.9335
